,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,params_rf_max_features,params_rf_max_samples,params_rf_min_samples_leaf,params_rf_min_samples_split,state
0,0,0.8668549571443306,2020-12-30 06:50:43.853833,2020-12-30 06:50:58.592882,0 days 00:00:14.739049,11.905851853917166,1440,auto,0.8013970802412335,4,4,COMPLETE
1,1,0.8691707969459302,2020-12-30 06:50:58.595732,2020-12-30 06:51:08.507200,0 days 00:00:09.911468,35.341085290185056,1850,sqrt,0.8620878256890001,2,14,COMPLETE
2,2,0.8340348591733574,2020-12-30 06:51:08.511327,2020-12-30 06:51:11.679747,0 days 00:00:03.168420,23.423739305393465,610,sqrt,0.6251420224869979,13,11,COMPLETE
3,3,0.8407825302679242,2020-12-30 06:51:11.681101,2020-12-30 06:51:19.160859,0 days 00:00:07.479758,12.754498945598232,1520,log2,0.7408940319431963,12,5,COMPLETE
4,4,0.8587623354068858,2020-12-30 06:51:19.163095,2020-12-30 06:51:26.840936,0 days 00:00:07.677841,15.9925945537215,1500,sqrt,0.7307239462884128,6,4,COMPLETE
5,5,0.8664161733511463,2020-12-30 06:51:26.844209,2020-12-30 06:51:36.260186,0 days 00:00:09.415977,95.10945598205704,1750,sqrt,0.8996878922518692,4,13,COMPLETE
6,6,0.8374638237270875,2020-12-30 06:51:36.264884,2020-12-30 06:51:44.196782,0 days 00:00:07.931898,14.336929692445143,1610,sqrt,0.8085504017693992,14,11,COMPLETE
7,7,0.8756068164709708,2020-12-30 06:51:44.198343,2020-12-30 06:51:53.783785,0 days 00:00:09.585442,12.766839994223233,1730,log2,0.7292085954559625,2,6,COMPLETE
8,8,0.8683057443656755,2020-12-30 06:51:53.788244,2020-12-30 06:52:01.935742,0 days 00:00:08.147498,14.05599722644177,1460,log2,0.8215069392299759,4,5,COMPLETE
9,9,0.869202701389507,2020-12-30 06:52:01.937224,2020-12-30 06:52:07.991138,0 days 00:00:06.053914,41.12206190743817,1110,sqrt,0.8813726511763225,4,5,COMPLETE
10,10,0.8423392058620696,2020-12-30 06:52:07.993153,2020-12-30 06:52:10.227190,0 days 00:00:02.234037,59.71741373848827,430,log2,0.6038478516357126,10,8,COMPLETE
11,11,0.8798249626458774,2020-12-30 06:52:10.229227,2020-12-30 06:52:16.248645,0 days 00:00:06.019418,39.425233887852066,960,log2,0.953181602757917,1,7,COMPLETE
12,12,0.8790415034838915,2020-12-30 06:52:16.252678,2020-12-30 06:52:22.193994,0 days 00:00:05.941316,23.062424240211772,980,log2,0.9569656579997053,1,8,COMPLETE
13,13,0.8560489758468393,2020-12-30 06:52:22.198320,2020-12-30 06:52:26.934776,0 days 00:00:04.736456,24.024212283794323,890,log2,0.9756238695761986,8,8,COMPLETE
14,14,0.8692756834831407,2020-12-30 06:52:26.936405,2020-12-30 06:52:37.852260,0 days 00:00:10.915855,53.133660297966124,1030,auto,0.9774149716596934,1,10,COMPLETE
15,15,0.8837364518419806,2020-12-30 06:52:37.856462,2020-12-30 06:52:43.274302,0 days 00:00:05.417840,23.015285454833016,750,log2,0.934681074784192,1,2,COMPLETE
16,16,0.8591470032549952,2020-12-30 06:52:43.275892,2020-12-30 06:52:47.159503,0 days 00:00:03.883611,29.10325022148633,720,log2,0.9284607956114823,7,2,COMPLETE
17,17,0.8822870248945565,2020-12-30 06:52:47.161465,2020-12-30 06:52:49.237099,0 days 00:00:02.075634,83.40052261778447,280,log2,0.9287819762718172,1,2,COMPLETE
18,18,0.8692683039853607,2020-12-30 06:52:49.239293,2020-12-30 06:52:52.148006,0 days 00:00:02.908713,93.62599977056826,260,auto,0.915434974963936,3,2,COMPLETE
19,19,0.8507644611801478,2020-12-30 06:52:52.151386,2020-12-30 06:52:53.504855,0 days 00:00:01.353469,71.20549237816174,210,log2,0.8590848585868972,9,2,COMPLETE
20,20,0.862617027914986,2020-12-30 06:52:53.506235,2020-12-30 06:52:56.120102,0 days 00:00:02.613867,17.794141876357376,450,log2,0.9896625855955399,6,3,COMPLETE
21,21,0.8806733028132774,2020-12-30 06:52:56.122522,2020-12-30 06:53:03.631279,0 days 00:00:07.508757,42.123687177200715,1240,log2,0.9447151044780058,1,7,COMPLETE
22,22,0.8787838197698891,2020-12-30 06:53:03.636076,2020-12-30 06:53:11.252699,0 days 00:00:07.616623,78.65002634108998,1250,log2,0.9305231185477197,2,3,COMPLETE
23,23,0.8827994168685334,2020-12-30 06:53:11.257806,2020-12-30 06:53:19.536983,0 days 00:00:08.279177,48.59149390674195,1290,log2,0.8630762661055512,1,3,COMPLETE
24,24,0.8735520434112555,2020-12-30 06:53:19.538580,2020-12-30 06:53:23.614740,0 days 00:00:04.076160,52.6007200549032,720,log2,0.8425678533245841,3,3,COMPLETE
25,25,0.8738134691655667,2020-12-30 06:53:23.620739,2020-12-30 06:53:30.535843,0 days 00:00:06.915104,30.236129391106147,1230,log2,0.8880435173583998,3,2,COMPLETE
26,26,0.8637262318507372,2020-12-30 06:53:30.537557,2020-12-30 06:53:32.800779,0 days 00:00:02.263222,19.691092944687423,410,log2,0.7684273734124805,5,4,COMPLETE
27,27,0.8717879325017815,2020-12-30 06:53:32.802382,2020-12-30 06:53:42.421300,0 days 00:00:09.618918,71.57882067800098,850,auto,0.9039076180317172,2,3,COMPLETE
28,28,0.8828562359821034,2020-12-30 06:53:42.425619,2020-12-30 06:53:46.689310,0 days 00:00:04.263691,54.46978996121499,600,log2,0.8387366694602045,1,2,COMPLETE
29,29,0.8696738642660792,2020-12-30 06:53:46.691197,2020-12-30 06:53:52.442764,0 days 00:00:05.751567,53.92595711581414,580,auto,0.7901547975124297,3,4,COMPLETE
30,30,0.8620423173276283,2020-12-30 06:53:52.445891,2020-12-30 06:53:56.446654,0 days 00:00:04.000763,46.19378879719738,750,log2,0.6844414288913915,5,6,COMPLETE
31,31,0.8802419782028821,2020-12-30 06:53:56.451511,2020-12-30 06:53:58.538876,0 days 00:00:02.087365,10.14439355928657,310,log2,0.837777826852524,1,2,COMPLETE
32,32,0.878424383114953,2020-12-30 06:53:58.541614,2020-12-30 06:54:01.948995,0 days 00:00:03.407381,33.88334160071964,550,log2,0.8650628552577894,2,3,COMPLETE
33,33,0.8836461822952909,2020-12-30 06:54:01.952510,2020-12-30 06:54:16.013846,0 days 00:00:14.061336,65.05963279093251,2000,log2,0.8727397576657789,1,2,COMPLETE
34,34,0.8784595948820669,2020-12-30 06:54:16.015550,2020-12-30 06:54:27.795941,0 days 00:00:11.780391,61.105156372631924,1990,log2,0.8677445797709049,2,4,COMPLETE
35,35,0.8832671356357741,2020-12-30 06:54:27.797669,2020-12-30 06:54:40.336423,0 days 00:00:12.538754,66.02243212027413,1990,log2,0.8386874598925108,1,3,COMPLETE
36,36,0.8443922201589428,2020-12-30 06:54:40.340777,2020-12-30 06:54:50.190063,0 days 00:00:09.849286,65.35684528309754,1970,log2,0.7873082360444669,11,4,COMPLETE
37,37,0.873130964181608,2020-12-30 06:54:50.195418,2020-12-30 06:55:00.666249,0 days 00:00:10.470831,26.22061787477265,1890,log2,0.8178644226989578,3,2,COMPLETE
38,38,0.8608310562496674,2020-12-30 06:55:00.667811,2020-12-30 06:55:09.608093,0 days 00:00:08.940282,85.38279729804721,1760,sqrt,0.7592115504206719,5,14,COMPLETE
39,39,0.8774166116644468,2020-12-30 06:55:09.612741,2020-12-30 06:55:13.382733,0 days 00:00:03.769992,98.27454985310517,620,log2,0.840256490070528,2,5,COMPLETE
40,40,0.8692967362655923,2020-12-30 06:55:13.384496,2020-12-30 06:55:22.162260,0 days 00:00:08.777764,20.55413981720636,1600,log2,0.8886568900736082,4,3,COMPLETE
41,41,0.8832501826446633,2020-12-30 06:55:22.166801,2020-12-30 06:55:33.469765,0 days 00:00:11.302964,48.217941503796645,1810,log2,0.8455076764616903,1,3,COMPLETE
42,42,0.8835007422681199,2020-12-30 06:55:33.471282,2020-12-30 06:55:46.445682,0 days 00:00:12.974400,35.86803796594232,1910,log2,0.824155928207775,1,2,COMPLETE
43,43,0.8777130178157106,2020-12-30 06:55:46.447246,2020-12-30 06:55:57.273225,0 days 00:00:10.825979,37.95162086989624,1840,log2,0.8095665302510566,2,4,COMPLETE
44,44,0.8770693386122161,2020-12-30 06:55:57.280524,2020-12-30 06:56:08.373912,0 days 00:00:11.093388,34.0870753261231,1950,sqrt,0.7838068450300119,2,5,COMPLETE
45,45,0.8380657806193281,2020-12-30 06:56:08.378485,2020-12-30 06:56:16.525294,0 days 00:00:08.146809,46.012959245907716,1680,log2,0.83073900084248,14,3,COMPLETE
46,46,0.881032731507028,2020-12-30 06:56:16.527372,2020-12-30 06:56:27.343684,0 days 00:00:10.816312,28.22732250719292,1840,log2,0.902869749935754,1,6,COMPLETE
47,47,0.8695636510138343,2020-12-30 06:56:27.350638,2020-12-30 06:56:34.911307,0 days 00:00:07.560669,62.95671515837753,1390,log2,0.8042142380518649,3,10,COMPLETE
48,48,0.882259330112082,2020-12-30 06:56:34.912909,2020-12-30 06:56:46.583003,0 days 00:00:11.670094,37.37378782323331,1930,log2,0.8749886851697846,1,5,COMPLETE
49,49,0.8685801846065635,2020-12-30 06:56:46.584582,2020-12-30 06:56:56.271190,0 days 00:00:09.686608,69.32497399514378,1790,sqrt,0.850271544556253,4,2,COMPLETE
50,50,0.8664759771907194,2020-12-30 06:56:56.272780,2020-12-30 06:57:11.764367,0 days 00:00:15.491587,57.29252985584331,1660,auto,0.8250415283345697,2,12,COMPLETE
51,51,0.8834489166142779,2020-12-30 06:57:11.765967,2020-12-30 06:57:17.459536,0 days 00:00:05.693569,43.73904326456524,810,log2,0.8522270880496345,1,2,COMPLETE
52,52,0.8836365732203948,2020-12-30 06:57:17.461525,2020-12-30 06:57:23.277468,0 days 00:00:05.815943,42.58104695069998,830,log2,0.8827913244281952,1,2,COMPLETE
53,53,0.8780685798070645,2020-12-30 06:57:23.279021,2020-12-30 06:57:28.153521,0 days 00:00:04.874500,41.4962650457696,790,log2,0.888141473266912,2,2,COMPLETE
54,54,0.8837922578525178,2020-12-30 06:57:28.158987,2020-12-30 06:57:35.794369,0 days 00:00:07.635382,31.473199494103735,1090,log2,0.9157491732517926,1,2,COMPLETE
55,55,0.8840953735829581,2020-12-30 06:57:35.796081,2020-12-30 06:57:43.134780,0 days 00:00:07.338699,26.63157748203176,1030,log2,0.9127108103787589,1,2,COMPLETE
56,56,0.8417651274334261,2020-12-30 06:57:43.142280,2020-12-30 06:57:48.835093,0 days 00:00:05.692813,23.812771481324077,1110,log2,0.9158230275670544,13,2,COMPLETE
57,57,0.8742930424949812,2020-12-30 06:57:48.837339,2020-12-30 06:57:54.329778,0 days 00:00:05.492439,27.319215343203155,920,log2,0.9708926416141014,3,2,COMPLETE
58,58,0.8786836613660788,2020-12-30 06:57:54.335649,2020-12-30 06:58:00.773853,0 days 00:00:06.438204,30.64552876863516,1070,log2,0.9451220885147162,2,3,COMPLETE
59,59,0.8828140868783847,2020-12-30 06:58:00.775396,2020-12-30 06:58:08.097596,0 days 00:00:07.322200,22.36445008207801,1160,log2,0.9124399629894521,1,4,COMPLETE
60,60,0.8743066051138588,2020-12-30 06:58:08.099940,2020-12-30 06:58:13.697385,0 days 00:00:05.597445,31.903668578522545,940,log2,0.9333932175593285,3,2,COMPLETE
61,61,0.8838224214332239,2020-12-30 06:58:13.702696,2020-12-30 06:58:21.026929,0 days 00:00:07.324233,25.728530755451384,1020,log2,0.964688658150392,1,2,COMPLETE
62,62,0.8836497985401114,2020-12-30 06:58:21.033579,2020-12-30 06:58:27.761532,0 days 00:00:06.727953,25.687711779392234,1020,log2,0.9582130788089681,1,3,COMPLETE
63,63,0.8838345752333422,2020-12-30 06:58:27.769215,2020-12-30 06:58:34.220434,0 days 00:00:06.451219,20.960191519093474,970,log2,0.9533228409158081,1,3,COMPLETE
64,64,0.8788062217868,2020-12-30 06:58:34.224672,2020-12-30 06:58:40.562812,0 days 00:00:06.338140,26.133104864472518,1040,log2,0.9632991293427279,2,3,COMPLETE
65,65,0.8791651295841945,2020-12-30 06:58:40.564353,2020-12-30 06:58:46.774897,0 days 00:00:06.210544,16.487829596815537,1000,log2,0.9897484171773729,2,4,COMPLETE
66,66,0.8702652327278494,2020-12-30 06:58:46.781695,2020-12-30 06:58:53.304423,0 days 00:00:06.522728,21.204722790857854,1170,log2,0.9472984822078334,4,3,COMPLETE
67,67,0.8727478381069039,2020-12-30 06:58:53.311118,2020-12-30 06:59:10.336454,0 days 00:00:17.025336,18.558310761816045,1370,auto,0.9807819945487626,1,4,COMPLETE
68,68,0.8562016577254932,2020-12-30 06:59:10.337975,2020-12-30 06:59:16.479991,0 days 00:00:06.142016,24.470148670613025,1170,log2,0.9612645777793402,8,3,COMPLETE
69,69,0.8779053792081662,2020-12-30 06:59:16.481568,2020-12-30 06:59:21.743006,0 days 00:00:05.261438,14.724703095953432,900,log2,0.9261717716539123,1,9,COMPLETE
70,70,0.878555053091468,2020-12-30 06:59:21.746967,2020-12-30 06:59:27.804062,0 days 00:00:06.057095,24.723500637259225,980,log2,0.9435971185616245,2,2,COMPLETE
71,71,0.8841210594315947,2020-12-30 06:59:27.805720,2020-12-30 06:59:35.492003,0 days 00:00:07.686283,21.11756394192779,1100,log2,0.9216271755165707,1,2,COMPLETE
72,72,0.8832017595299074,2020-12-30 06:59:35.497180,2020-12-30 06:59:39.944625,0 days 00:00:04.447445,22.566401413424323,680,log2,0.9197154425584908,1,3,COMPLETE
73,73,0.8844324935371772,2020-12-30 06:59:39.946280,2020-12-30 06:59:47.311679,0 days 00:00:07.365399,19.324005373731826,1040,log2,0.9348876271953732,1,2,COMPLETE
74,74,0.8790502934444934,2020-12-30 06:59:47.315257,2020-12-30 06:59:54.033268,0 days 00:00:06.718011,18.953256646809272,1100,log2,0.9369085348856364,2,2,COMPLETE
75,75,0.8833097101954323,2020-12-30 06:59:54.034824,2020-12-30 07:00:00.847257,0 days 00:00:06.812433,16.95087368805081,1020,log2,0.9572290086856213,1,3,COMPLETE
76,76,0.8745864728565692,2020-12-30 07:00:00.852131,2020-12-30 07:00:08.343328,0 days 00:00:07.491197,21.184436305170635,1290,log2,0.9703152606110278,3,2,COMPLETE
77,77,0.8783156303487144,2020-12-30 07:00:08.344938,2020-12-30 07:00:13.691742,0 days 00:00:05.346804,26.261298729722704,870,log2,0.8974550136639107,2,3,COMPLETE
78,78,0.8847763018777718,2020-12-30 07:00:13.695984,2020-12-30 07:00:21.370767,0 days 00:00:07.674783,19.786364563339088,1060,sqrt,0.9795509866460151,1,2,COMPLETE
79,79,0.8791812824559866,2020-12-30 07:00:21.378446,2020-12-30 07:00:28.266669,0 days 00:00:06.888223,19.577468944017138,1130,sqrt,0.9840574903675302,2,2,COMPLETE
80,80,0.8840417382461626,2020-12-30 07:00:28.274210,2020-12-30 07:00:36.484765,0 days 00:00:08.210555,15.052178629784466,1210,sqrt,0.9107511582986043,1,2,COMPLETE
81,81,0.883537722915567,2020-12-30 07:00:36.486383,2020-12-30 07:00:44.504486,0 days 00:00:08.018103,12.04191496308677,1240,sqrt,0.9037030707894432,1,2,COMPLETE
82,82,0.8843664919907,2020-12-30 07:00:44.506099,2020-12-30 07:00:51.969688,0 days 00:00:07.463589,17.671775407207765,1070,sqrt,0.9218880953933725,1,2,COMPLETE
83,83,0.8836010158555151,2020-12-30 07:00:51.971260,2020-12-30 07:00:59.439581,0 days 00:00:07.468321,15.210218572814657,1070,sqrt,0.919801521308827,1,2,COMPLETE
84,84,0.8788865639913414,2020-12-30 07:00:59.441289,2020-12-30 07:01:07.766224,0 days 00:00:08.324935,13.624976576384263,1310,sqrt,0.9378139309340664,2,2,COMPLETE
85,85,0.8838786448578159,2020-12-30 07:01:07.767894,2020-12-30 07:01:14.216369,0 days 00:00:06.448475,17.517935887389438,950,sqrt,0.9122733789495793,1,3,COMPLETE
86,86,0.8824386739156824,2020-12-30 07:01:14.218543,2020-12-30 07:01:20.544950,0 days 00:00:06.326407,17.560654602028798,940,sqrt,0.9510471065311218,1,4,COMPLETE
87,87,0.8739921456365859,2020-12-30 07:01:20.548514,2020-12-30 07:01:27.526361,0 days 00:00:06.977847,15.738561129935947,1200,sqrt,0.897457379768675,3,3,COMPLETE
88,88,0.8787946088613157,2020-12-30 07:01:27.531347,2020-12-30 07:01:33.585214,0 days 00:00:06.053867,13.666325052235917,970,sqrt,0.9684729219737166,2,3,COMPLETE
89,89,0.8825850623423609,2020-12-30 07:01:33.592308,2020-12-30 07:01:40.621687,0 days 00:00:07.029379,17.78037492269609,1060,sqrt,0.7010177989140799,1,2,COMPLETE
90,90,0.8790061439305634,2020-12-30 07:01:40.623330,2020-12-30 07:01:45.986881,0 days 00:00:05.363551,20.213367223248717,880,sqrt,0.9259355372679292,2,3,COMPLETE
91,91,0.8838917102358134,2020-12-30 07:01:45.989091,2020-12-30 07:01:53.908506,0 days 00:00:07.919415,15.93858681543135,1130,sqrt,0.9125767238165311,1,2,COMPLETE
92,92,0.8843708385362176,2020-12-30 07:01:53.914921,2020-12-30 07:02:01.946575,0 days 00:00:08.031654,18.661896934424732,1140,sqrt,0.9398805935708572,1,2,COMPLETE
93,93,0.8838184311955145,2020-12-30 07:02:01.954165,2020-12-30 07:02:10.009192,0 days 00:00:08.055027,18.575833221236987,1140,sqrt,0.9089254006743195,1,2,COMPLETE
94,94,0.8788510757988656,2020-12-30 07:02:10.013324,2020-12-30 07:02:17.224101,0 days 00:00:07.210777,15.8347708044033,1200,sqrt,0.8941348741285776,2,3,COMPLETE
95,95,0.8830347156238871,2020-12-30 07:02:17.227795,2020-12-30 07:02:25.009954,0 days 00:00:07.782159,16.948421927896828,1200,sqrt,0.9361365481230601,1,3,COMPLETE
96,96,0.8810396957542985,2020-12-30 07:02:25.014313,2020-12-30 07:02:33.342251,0 days 00:00:08.327938,10.374603244084023,1340,sqrt,0.909041329170427,1,2,COMPLETE
97,97,0.882650879257687,2020-12-30 07:02:33.343860,2020-12-30 07:02:42.482917,0 days 00:00:09.139057,12.716575918518247,1440,sqrt,0.9222044592077043,1,4,COMPLETE
98,98,0.8787090627428523,2020-12-30 07:02:42.490042,2020-12-30 07:02:50.218895,0 days 00:00:07.728853,21.684656299002985,1280,sqrt,0.9532508548211464,2,2,COMPLETE
99,99,0.8738657649712488,2020-12-30 07:02:50.220728,2020-12-30 07:02:56.594252,0 days 00:00:06.373524,19.282275626408254,1110,sqrt,0.9405767866205675,3,2,COMPLETE
